state,latitude,longitude,quarter,temperature_2m_meanmean,temperature_2m_meansum,relative_humidity_2m_meanmean,relative_humidity_2m_meansum,wind_speed_10m_maxmax,temperature_2m_maxmax,relative_humidity_2m_maxmax,temperature_2m_minmin,relative_humidity_2m_minmin,precipitation_hours_sum,moderate_drizzle_sum,moderate_rain_sum,light_rain_sum,heavy_rain_sum,overcast_sum,partly_cloudy_sum,clear_sky_sum,light_drizzle_sum,mainly_clear_sum,heavy_drizzle_sum,light_snow_sum,heavy_snow_sum,moderate_snow_sum,year
Alabama,32.806671,-86.79113,1,9.138388803333333,822.4549923,72.11832428888889,6490.649186,31.782108,25.1495,100.0,-8.0005,24.917511,342.0,8,10,9,1,36,5,4,9,5,2,1,0,0,2015
Alabama,32.806671,-86.79113,2,22.64993456043956,2061.144045,73.74821151648351,6711.087248,22.73707,35.1495,100.0,8.8495,27.416792,330.0,7,15,10,4,28,7,2,9,2,7,0,0,0,2015
Alabama,32.806671,-86.79113,3,26.05617991304348,2397.168552,73.8250424673913,6791.903907,18.014393,36.2495,100.0,13.8495,26.286417,294.0,4,16,7,0,25,6,1,20,5,8,0,0,0,2015
Alabama,32.806671,-86.79113,4,16.406247804347828,1509.374798,75.72130443478261,6966.360008,30.955812,29.0495,100.0,0.3995,21.674316,341.0,3,13,8,3,38,4,7,10,4,2,0,0,0,2015
Alabama,32.806671,-86.79113,1,10.685763525274725,972.4044808,70.39292195604396,6405.755898,32.777794,28.0495,100.0,-2.9505,29.30622,289.0,4,15,4,2,29,6,13,10,5,3,0,0,0,2016
Alabama,32.806671,-86.79113,2,22.222027021978022,2022.204459,67.82080884615385,6171.693605,25.20257,36.599503,100.0,8.0495,26.378862,251.0,13,10,5,3,28,3,4,20,4,1,0,0,0,2016
Alabama,32.806671,-86.79113,3,27.837860630434783,2561.083178,69.21246079347826,6367.546393,19.523155,35.849503,100.0,14.8995,22.57371,229.0,10,13,8,2,24,7,1,20,5,2,0,0,0,2016
Alabama,32.806671,-86.79113,4,16.66772893478261,1533.4310619999999,58.981802010869565,5426.325785,31.667723,31.3495,100.0,-1.0505,12.120372,162.0,2,3,4,3,45,7,15,6,4,3,0,0,0,2016
Alabama,32.806671,-86.79113,1,13.188240562222223,1186.9416506,72.38285973333333,6514.457376,32.353966,28.48,100.0,-7.37,23.54837,333.0,5,8,9,5,33,2,3,14,4,5,2,0,0,2017
Alabama,32.806671,-86.79113,2,21.918987296703296,1994.627844,72.13651453846154,6564.422823,35.545326,32.83,100.0,5.88,29.112926,409.0,7,21,5,5,21,5,8,12,5,2,0,0,0,2017
Alabama,32.806671,-86.79113,3,25.503029315217393,2346.278697,75.05590766304348,6905.143505,29.96662,35.13,100.0,12.7300005,31.326956,376.0,13,14,11,4,15,6,3,21,2,3,0,0,0,2017
Alabama,32.806671,-86.79113,4,13.953052351413044,1283.68081633,73.90540011956521,6799.296811,35.132755,30.529999,100.0,-4.17,29.181974,279.0,4,8,8,1,34,8,8,15,2,2,0,1,1,2017
Alabama,32.806671,-86.79113,1,10.709235913666665,963.83123223,70.86623141111112,6377.960827,27.661497,26.08,100.0,-10.62,9.721294,346.0,6,10,6,4,29,7,7,14,0,5,1,0,1,2018
Alabama,32.806671,-86.79113,2,21.557059685714286,1961.6924314,73.9871,6732.8261,28.551426,33.73,100.0,1.63,25.762241,396.0,8,14,8,7,22,5,2,17,4,4,0,0,0,2018
Alabama,32.806671,-86.79113,3,26.525085543478262,2440.30787,76.80854144565217,7066.385813,25.721743,35.88,100.0,19.73,33.78109,443.0,11,13,14,3,13,5,0,27,2,4,0,0,0,2018
Alabama,32.806671,-86.79113,4,13.777938950000001,1267.5703834,76.60161261956522,7047.348361,32.078403,32.73,100.0,-3.37,31.173948,431.0,6,12,9,4,39,3,2,16,0,1,0,0,0,2018
Alabama,32.806671,-86.79113,1,11.427684963666666,1028.49164673,72.02383012222222,6482.144711,43.037693,25.679998,100.0,-4.72,26.80918,434.0,4,15,7,2,36,2,2,18,1,2,1,0,0,2019
Alabama,32.806671,-86.79113,2,22.542522516483515,2051.369549,69.9591654065934,6366.284052,34.94968,35.63,100.0,3.38,25.082521,363.0,5,13,7,4,27,4,3,21,5,2,0,0,0,2019
Alabama,32.806671,-86.79113,3,27.566775054347826,2536.143305,66.8502061847826,6150.2189690000005,19.734436,36.88,100.0,18.58,21.139803,252.0,5,13,11,3,22,7,6,16,7,2,0,0,0,2019
Alabama,32.806671,-86.79113,4,14.239261425,1310.0120511,73.46531911956522,6758.809359,32.688713,35.63,100.0,-4.92,26.630987,389.0,7,14,11,2,34,4,4,10,3,3,0,0,0,2019
Alabama,32.806671,-86.79113,1,12.909761714285716,1174.7883160000001,75.54319476923077,6874.430724,35.428463,27.83,100.0,-5.27,28.391611,534.0,12,20,7,2,25,4,3,14,0,3,1,0,0,2020
Alabama,32.806671,-86.79113,2,21.036157708791208,1914.2903515,67.07789838461538,6104.088753,40.00052,33.43,100.0,4.78,24.494017,308.0,7,11,8,3,32,5,3,13,5,4,0,0,0,2020
Alabama,32.806671,-86.79113,3,25.966752217391306,2388.941204,73.92000906521739,6800.640834,31.667723,35.13,100.0,10.93,26.05802,378.0,13,10,12,2,16,7,2,22,3,5,0,0,0,2020
Alabama,32.806671,-86.79113,4,14.373862832608696,1322.3953806,72.46537202173913,6666.814226,54.312294,30.23,100.0,-4.47,26.496159,250.0,7,10,2,3,32,5,21,8,1,3,0,0,0,2020
Alabama,32.806671,-86.79113,1,10.843101681111111,975.8791513,73.16068988888888,6584.46209,30.293522,26.63,100.0,-8.92,20.317379,432.0,4,15,9,3,41,1,6,8,0,3,0,0,0,2021
Alabama,32.806671,-86.79113,2,20.87958713186813,1900.042429,69.80412036263736,6352.174953,38.96158,33.68,100.0,1.53,25.549046,375.0,7,14,7,3,27,7,7,17,1,1,0,0,0,2021
Alabama,32.806671,-86.79113,3,25.217951826086956,2320.051568,79.98711140217391,7358.814249,27.169865,35.48,100.0,12.2300005,29.636969,605.0,7,21,14,5,10,3,2,22,2,6,0,0,0,2021
Alabama,32.806671,-86.79113,4,15.196371957608696,1398.0662201,75.67340402173913,6961.95317,28.48326,30.029999,100.0,0.68,26.772781,298.0,4,12,1,2,38,0,10,15,5,5,0,0,0,2021
Alabama,32.806671,-86.79113,1,10.330416573444445,929.73749161,69.09525944444444,6218.57335,33.893574,26.73,100.0,-4.67,26.762169,282.0,3,14,2,7,37,3,7,5,8,1,2,0,1,2022
Alabama,32.806671,-86.79113,2,22.504747604395604,2047.932032,68.98530787912088,6277.663017,30.861471,37.18,100.0,3.5300002,18.70301,272.0,11,11,3,8,27,3,8,15,3,2,0,0,0,2022
Alabama,32.806671,-86.79113,3,25.604908793478263,2355.651609,75.14251730434783,6913.111592,21.349546,36.43,100.0,11.63,21.782995,399.0,15,14,12,2,7,4,8,22,4,4,0,0,0,2022
Alabama,32.806671,-86.79113,4,13.629456347065217,1253.90998393,69.246742,6370.700264,30.589407,28.529999,100.0,-11.0199995,18.000206,235.0,7,13,2,3,37,3,12,11,4,0,0,0,0,2022
Alabama,32.806671,-86.79113,1,16.394585,16.394585,87.09289,87.09289,11.91812,21.929998,99.67911,13.7300005,59.28743,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,2023
Alaska,61.370716,-152.404419,1,-15.874421477777776,-1428.697933,64.46201927777777,5801.581735,10.239453,-6.29,97.34905,-33.739998,9.907937,542.0,0,0,0,0,23,3,15,0,6,0,10,13,20,2015
Alaska,61.370716,-152.404419,2,-7.233177889120879,-658.21918791,83.54265648351648,7602.38174,10.1376915,6.51,99.273926,-20.99,23.53465,729.0,6,0,0,0,21,4,0,7,2,0,16,9,26,2015
Alaska,61.370716,-152.404419,3,-3.095457502956522,-284.782090272,88.02705369565217,8098.48894,12.620554,5.66,99.63698,-14.84,27.996885,763.0,9,0,3,0,12,3,2,22,0,2,20,2,17,2015
Alaska,61.370716,-152.404419,4,-14.589932482608697,-1342.2737884,81.28328105434782,7478.061857,14.05845,-3.44,97.412125,-32.690002,15.584629,831.0,0,0,0,0,18,1,1,0,2,0,21,18,31,2015
Alaska,61.370716,-152.404419,1,-14.50547641208791,-1319.9983535,79.16764712087912,7204.255888,9.422101,-5.1400003,96.57476,-26.09,16.343239,983.0,0,0,0,0,13,2,2,0,4,0,12,24,34,2016
Alaska,61.370716,-152.404419,2,-6.175783012241758,-561.996254114,85.47674863736263,7778.384126,10.086427,5.8599997,99.632904,-17.19,34.84339,777.0,2,0,0,0,16,4,1,10,2,0,21,3,32,2016
Alaska,61.370716,-152.404419,3,-1.7130073692391306,-157.59667797,89.55129054347826,8238.71873,11.212135,6.16,99.63979,-12.54,30.809261,862.0,17,0,9,0,15,5,3,12,1,0,15,4,11,2016
Alaska,61.370716,-152.404419,4,-14.759995627173913,-1357.9195977,67.23594907608695,6185.707315,10.1887,-1.1400001,97.340164,-29.49,10.985846,469.0,0,0,0,0,29,5,6,0,5,0,16,8,23,2016
Alaska,61.370716,-152.404419,1,-18.83842224,-1695.4580016,50.40126867222222,4536.1141805,9.565437,-2.3665004,100.0,-37.7165,3.8209307,444.0,0,0,0,0,18,8,25,0,4,0,13,9,13,2017
